season,episode,writter,rol
1,1,David Crane,Writer
1,1,Marta Kauffman,Writer
1,2,David Crane,Writer
1,2,Marta Kauffman,Writer
1,3,Jeffrey Astrof,Writer
1,3,Mike Sikowitz,Writer
1,4,Alexa Junge,Writer
1,5,Jeff Greenstein,Writer
1,5,Jeff Strauss,Writer
1,6,Adam Chase,Writer
1,6,Ira Ungerleider,Writer
1,7,Jeffrey Astrof,Writer
1,7,Mike Sikowitz,Writer
1,8,Marta Kauffman,Writer
1,8,David Crane,Writer
1,9,Jeff Greenstein,Writer
1,9,Jeff Strauss,Writer
1,10,Adam Chase,Writer
1,10,Ira Ungerleider,Writer
1,11,Alexa Junge,Writer
1,12,Jeffrey Astrof,Writer
1,12,Mike Sikowitz,Writer
1,12,Adam Chase,Writer
1,12,Ira Ungerleider,Writer
1,13,Alexa Junge,Writer
1,14,Bill Lawrence,Writer
1,15,Jeff Greenstein,Writer
1,15,Jeff Strauss,Writer
1,16,Marta Kauffman,Writer
1,16,David Crane,Writer
1,17,Marta Kauffman,Writer
1,17,David Crane,Writer
1,18,Jeffrey Astrof,Writer
1,18,Mike Sikowitz,Writer
1,19,Jeffrey Astrof,Writer
1,19,Mike Sikowitz,Writer
1,20,Doty Abrams,Writer
1,21,Adam Chase,Writer
1,21,Ira Ungerleider,Writer
1,22,Alexa Junge,Writer
1,24,Chris Brown,Writer
2,1,Jeffrey Astrof,Writer
2,1,Mike Sikowitz,Writer
2,2,Adam Chase,Writer
2,2,Ira Ungerleider,Writer
2,3,Michael Curtis,Writer
2,3,Gregory S. Malins,Writer
2,4,Alexa Junge,Writer
2,5,Chris Brown,Writer
2,6,Betsy Borns,Writer
2,7,Michael Borkow,Writer
2,8,David Crane,Writer
2,8,Marta Kauffman,Writer
2,9,Jeffrey Astrof,Writer
2,9,Mike Sikowitz,Writer
2,10,Ira Ungerleider,Writer
2,11,Doty Abrams,Writer
2,12,Jeffrey Astrof,Writer
2,12,Mike Sikowitz,Writer
2,12,Michael Borkow,Writer
2,13,Jeffrey Astrof,Writer
2,13,Mike Sikowitz,Writer
2,13,Michael Borkow,Writer
2,14,Alexa Junge,Writer
