Temporada;Episodio;Animal;Accion
3;3x21;Pollito;Joey lo compra
3;3x22;Pollito;Joey y Chandler cuidan de él.
3;3x22;Pato;Chandler lo rescata para que el pollito tenga un amigo.
3;3x25;Pollito;Aparecen en el apartamento de los chicos.
3;3x25;Pato;Aparecen en el apartamento de los chicos.
4;4x01;Pollito;Escenas en el apartamento.
4;4x01;Pato;Escenas en el apartamento.
4;4x02;Pato;Se traga el anillo de compromiso de Ross.
4;4x07;Pollito;Chandler los castiga en el pasillo.
4;4x07;Pato;Chandler los castiga en el pasillo.
4;4x12;Pollito;Se mudan al apartamento de Monica tras la apuesta.
4;4x12;Pato;Se mudan al apartamento de Monica tras la apuesta.
4;4x17;Pato;Phoebe cree que es su madre reencarnada.
4;4x21;Pollito;Joey los cuida mientras los demás están en Londres.
4;4x21;Pato;Joey los cuida mientras los demás están en Londres.
5;5x02;Pollito;Regresan al apartamento de los chicos.
5;5x02;Pato;Regresan al apartamento de los chicos.
5;5x21;Pato;Participa en la carrera de pelotas de fuego.
6;6x01;Pollito;Aparecen brevemente tras la boda en Las Vegas.
6;6x01;Pato;Aparecen brevemente tras la boda en Las Vegas.
6;6x20;Pato;Aparece en una subtrama de Joey.
