Actor/Actriz,Personaje,Descripción/Temporada
Brad Pitt,Will Colbert,Antiguo compañero que odiaba a Rachel (T8)
Bruce Willis,Paul Stevens,Padre de Elizabeth y novio de Rachel (T6)
Julia Roberts,Susie Moss,Compañera de primaria de Chandler (T2)
Charlie Sheen,Ryan,Marinero novio de Phoebe que tiene varicela (T2)
Danny DeVito,Roy,El stripper sensible en la despedida de Phoebe (T10)
Robin Williams,Tomas,Cliente del Central Perk en una escena improvisada (T3)
Billy Crystal,Tim,Amigo de Tomas en el Central Perk (T3)
George Clooney,Dr. Michael Mitchell,Médico que atiende a Rachel (T1)
Noah Wyle,Dr. Jeffrey Rosen,Médico compañero de Clooney (T1)
Sean Penn,Eric,Novio de Ursula que sale con Phoebe (T8)
Ben Stiller,Tommy,Novio de Rachel con problemas de ira (T3)
Winona Ryder,Melissa Warburton,Amiga de la universidad de Rachel (T7)
Gary Oldman,Richard Crosby,Actor que escupe al hablar con Joey (T7)
Reese Witherspoon,Jill Greene,Hermana menor de Rachel (T6)
Christina Applegate,Amy Greene,Hermana de Rachel (T9/T10)
Alec Baldwin,Parker,Novio de Phoebe extremadamente entusiasta (T8)
Jean-Claude Van Damme,Él mismo,Actor en la película que rueda Joey (T2)
Hugh Laurie,Pasajero avión,Hombre que se queja de Rachel en el vuelo a Londres (T4)
Freddie Prinze Jr.,Sandy,El niñero sensible de Emma (T9)
Dakota Fanning,Mackenzie,Niña que vive en la casa que compran Monica y Chandler (T10)
Jeff Goldblum,Leonard Hayes,Director de una obra donde audiciona Joey (T9)
Susan Sarandon,Jessica Lockhart,Actriz de 'Days of Our Lives' (T7)
Jon Favreau,Pete Becker,Millonario novio de Monica que quiere ser luchador (T3)
Hank Azaria,David,El científico novio de Phoebe que se va a Minsk (Varios)
Kathleen Turner,Charles Bing,Padre de Chandler (T7)
