temporada,episodio,titulo,director,fecha_estreno,audiencia_millones,nota_imdb
1,1,El de Monica consigue una compañera,James Burrows,22/09/1994,21.5,8.3
1,2,El del sonograma al final,James Burrows,29/09/1994,20.2,8.1
1,3,El del pulgar,James Burrows,06/10/1994,19.5,8.2
1,4,El de George Stephanopoulos,James Burrows,13/10/1994,19.7,8.1
1,5,El del detergente de Alemania Oriental,Pamela Fryman,20/10/1994,18.6,8.5
1,6,El del culo,Arlene Sanford,27/10/1994,18.2,8.1
1,7,El del apagón,James Burrows,03/11/1994,23.5,9.0
1,8,En el que la abuela muere dos veces,James Burrows,10/11/1994,21.1,8.1
1,9,En el que Underdog se escapa,James Burrows,17/11/1994,23.1,8.2
1,10,El del mono,Peter Bonerz,15/12/1994,19.9,8.1
1,11,El de la Sra. Bing,James Burrows,05/01/1995,26.6,8.2
1,12,El de la docena de lasañas,Paul Lazarus,12/01/1995,24.0,8.2
1,13,El de las tetas,Alan Myerson,19/01/1995,25.8,8.7
1,14,El de los corazones de caramelo,James Burrows,09/02/1995,23.8,8.3
1,15,El del tipo colgado,Alan Myerson,16/02/1995,24.8,8.2
1,16,El de las dos partes: Parte 1,Michael Lembeck,23/02/1995,26.1,8.2
1,17,El de las dos partes: Parte 2,Michael Lembeck,23/02/1995,30.5,8.5
1,18,El de todo el póker,James Burrows,02/03/1995,30.4,8.8
1,19,En el que el mono se escapa,Peter Bonerz,09/03/1995,29.4,8.1
1,20,El del ortodoncista malvado,Peter Bonerz,06/04/1995,30.0,7.9
1,21,El de la falsa Monica,Gail Mancuso,27/04/1995,28.4,7.9
1,22,El del factor asco,Robby Benson,04/05/1995,29.9,8.3
1,23,El del nacimiento,James Burrows,11/05/1995,28.7,8.7
1,24,En el que Rachel se entera,Kevin S. Bright,18/05/1995,31.3,8.9
2,1,El de la nueva novia de Ross,Michael Lembeck,21/09/1995,32.1,8.5
2,2,El de la leche materna,Michael Lembeck,28/09/1995,29.8,8.2
2,3,En el que muere Heckles,Kevin S. Bright,05/10/1995,30.2,8.4
2,4,El del marido de Phoebe,Gail Mancuso,12/10/1995,28.1,8.0
2,5,El de los cinco filetes y una berenjena,Ellen Gittelsohn,19/10/1995,28.3,8.3
2,6,El del bebé en el autobús,Gail Mancuso,02/11/1995,30.2,8.6
2,7,En el que Ross se entera,Peter Bonerz,09/11/1995,30.5,9.0
