actor,personaje,descripcion,temporada
Brad Pitt,Will Colbert,Antiguo compañero que odiaba a Rachel,8
Bruce Willis,Paul Stevens,Padre de Elizabeth y novio de Rachel,6
Julia Roberts,Susie Moss,Compañera de primaria de Chandler,2
Charlie Sheen,Ryan,Marinero novio de Phoebe que tiene varicela,2
Danny DeVito,Roy,El stripper sensible en la despedida de soltera de Phoebe,10
Robin Williams,Tomas,Cliente del Central Perk en una escena improvisada,3
Billy Crystal,Tim,Amigo de Tomas en el Central Perk,3
George Clooney,Dr. Michael Mitchell,Médico que atiende a Rachel,1
Noah Wyle,Dr. Jeffrey Rosen,Médico compañero de Clooney,1
Sean Penn,Eric,Novio de Ursula que sale con Phoebe,8
Ben Stiller,Tommy,Novio de Rachel con problemas de ira,3
Winona Ryder,Melissa Warburton,Amiga de la universidad de Rachel,7
Gary Oldman,Richard Crosby,Actor que escupe al hablar con Joey,7
Reese Witherspoon,Jill Greene,Hermana menor de Rachel,6
Christina Applegate,Amy Greene,,
Alec Baldwin,Parker,Novio de Phoebe extremadamente entusiasta,8
Jean-Claude Van Damme,Él mismo,Actor en la película que rueda Joey,2
Hugh Laurie,Pasajero del avión,Hombre que se queja de Rachel en el vuelo a Londres,4
Freddie Prinze Jr.,Sandy,El niñero sensible de Emma,9
Dakota Fanning,Mackenzie,Niña que vive en la casa que compran Monica y Chandler,10
Jeff Goldblum,Leonard Hayes,Director de una obra donde audiciona Joey,9
Susan Sarandon,Jessica Lockhart,Actriz de 'Days of Our Lives',7
Jon Favreau,Pete Becker,Millonario novio de Monica que quiere ser luchador,3
Hank Azaria,David,,
Kathleen Turner,Charles Bing,Padre de Chandler,7
