temporada,numero_episodio,escena,intervencion,emocion
1,1,4,1,Enojado
1,1,4,3,Neutral
1,1,4,4,Alegre
1,1,4,5,Neutral
1,1,4,6,Neutral
1,1,4,7,Neutral
1,1,4,8,Asustado
1,1,4,10,Alegre
1,1,4,11,Alegre
1,1,4,12,Triste
1,1,4,13,Enojado
1,1,4,14,Asustado
1,1,4,15,Neutral
1,1,4,16,Triste
1,1,4,17,Triste
1,1,4,18,Enojado
1,1,4,19,Enojado
1,1,5,1,Enojado
1,1,5,2,Triste
1,1,5,3,Triste
1,1,5,4,Poderoso
1,1,5,5,Alegre
1,1,5,6,Alegre
1,1,5,7,Poderoso
1,1,5,8,Tranquilo
1,1,5,9,Poderoso
1,1,7,1,Triste
1,1,7,2,Enojado
1,1,7,3,Enojado
1,1,7,4,Triste
1,1,7,5,Triste
1,1,7,6,Asustado
1,1,7,7,Poderoso
1,1,7,8,Asustado
1,1,7,9,Enojado
1,1,8,1,Triste
1,1,8,2,Neutral
1,1,8,3,Triste
1,1,8,4,Neutral
1,1,8,5,Asustado
1,1,8,6,Neutral
1,1,8,7,Triste
1,1,8,8,Neutral
1,1,8,9,Triste
1,1,8,10,Neutral
1,1,8,11,Neutral
1,1,8,12,Alegre
1,1,8,13,Neutral
1,1,8,14,Neutral
1,1,10,1,Tranquilo
1,1,10,2,Asustado
1,1,10,3,Alegre
1,1,10,4,Tranquilo
1,1,10,5,Triste
1,1,12,1,Alegre
1,1,12,2,Neutral
1,1,12,3,Neutral
1,1,12,4,Neutral
1,1,12,5,Enojado
1,1,12,6,Neutral
1,1,12,7,Neutral
1,1,12,8,Neutral
1,1,12,9,Neutral
1,1,13,1,Enojado
1,1,13,2,Enojado
1,1,13,3,Neutral
1,1,13,4,Enojado
1,1,13,5,Tranquilo
1,1,13,6,Enojado
1,1,13,7,Tranquilo
1,1,13,8,Triste
1,1,13,9,Alegre
1,1,13,11,Neutral
1,1,13,12,Neutral
1,1,13,13,Enojado
1,1,13,14,Neutral
1,1,13,15,Alegre
1,1,13,16,Neutral
1,1,13,17,Alegre
1,1,13,18,Neutral
1,1,13,19,Neutral
1,1,13,20,Neutral
1,1,13,21,Neutral
1,1,15,1,Neutral
1,1,15,2,Alegre
1,1,15,3,Asustado
1,1,15,4,Alegre
1,1,15,5,Enojado
1,1,15,6,Neutral
1,1,15,7,Enojado
1,1,15,8,Tranquilo
1,1,15,9,Alegre
1,1,15,10,Neutral
1,1,15,11,Tranquilo
1,1,15,12,Asustado
1,1,15,13,Neutral
1,1,15,14,Alegre
1,1,15,15,Tranquilo
1,1,15,16,Asustado
1,1,15,17,Enojado
1,1,15,18,Neutral
1,2,1,1,Alegre
1,2,1,2,Neutral
1,2,1,3,Alegre
1,2,1,4,Poderoso
1,2,1,5,Poderoso
1,2,1,6,Alegre
1,2,1,7,Neutral
1,2,1,8,Enojado
1,2,1,9,Triste
1,2,1,10,Alegre
1,2,2,1,Asustado
1,2,2,2,Triste
1,2,2,3,Asustado
1,2,2,4,Enojado
1,2,2,5,Neutral
1,2,2,6,Enojado
1,2,2,8,Asustado
1,2,2,9,Alegre
1,2,2,10,Asustado
1,2,2,12,Neutral
1,2,2,13,Neutral
1,2,2,14,Asustado
1,2,2,15,Alegre
1,2,2,16,Alegre
1,2,2,17,Neutral
1,2,2,18,Tranquilo
1,2,2,19,Enojado
1,2,2,20,Asustado
1,2,2,21,Neutral
1,2,2,22,Asustado
1,2,6,1,Neutral
1,2,6,3,Neutral
1,2,6,4,Neutral
1,2,6,5,Enojado
1,2,6,6,Neutral
1,2,6,7,Neutral
1,2,6,8,Neutral
1,2,6,9,Neutral
1,2,6,10,Neutral
1,2,6,11,Neutral
1,2,6,12,Neutral
1,2,6,13,Neutral
1,2,6,14,Neutral
1,2,6,15,Alegre
1,2,6,16,Asustado
1,2,7,1,Neutral
1,2,7,2,Neutral
1,2,7,3,Asustado
1,2,7,4,Neutral
1,2,7,5,Asustado
1,2,7,6,Tranquilo
1,2,7,7,Triste
1,2,7,8,Neutral
1,2,7,9,Neutral
1,2,7,10,Neutral
1,2,7,12,Triste
1,2,7,13,Neutral
1,2,8,1,Asustado
1,2,8,2,Enojado
1,2,8,3,Asustado
1,2,8,4,Poderoso
1,2,8,5,Enojado
1,2,8,6,Poderoso
1,2,8,7,Enojado
1,2,8,8,Neutral
1,2,8,9,Asustado
1,2,8,10,Neutral
1,2,8,11,Poderoso
1,2,8,12,Poderoso
1,2,9,1,Neutral
1,2,9,2,Asustado
1,2,9,3,Alegre
1,2,9,4,Asustado
1,2,9,5,Asustado
1,2,9,6,Enojado
1,2,9,7,Neutral
1,2,9,8,Neutral
1,2,9,9,Asustado
1,2,9,10,Enojado
1,2,9,11,Asustado
1,2,9,12,Enojado
1,2,9,13,Enojado
1,2,9,14,Enojado
1,2,9,15,Tranquilo
1,2,9,16,Enojado
1,2,9,17,Neutral
1,2,9,18,Asustado
1,2,9,19,Alegre
1,2,9,20,Asustado
1,2,9,21,Triste
1,2,9,22,Triste
1,2,9,23,Triste
1,2,9,25,Asustado
1,2,10,1,Enojado
1,2,10,2,Enojado
1,2,10,3,Poderoso
1,2,10,4,Poderoso
1,2,10,5,Poderoso
1,2,10,6,Enojado
1,2,10,7,Neutral
1,2,10,8,Enojado
1,2,10,9,Poderoso
1,2,10,10,Enojado
1,2,10,11,Enojado
1,2,10,12,Enojado
1,2,10,13,Enojado
1,2,10,14,Neutral
1,2,10,15,Poderoso
1,2,10,16,Enojado
1,2,10,17,Enojado
1,2,10,18,Neutral
1,2,10,19,Neutral
1,2,10,20,Neutral
1,2,10,21,Triste
1,2,10,23,Alegre
1,2,10,24,Alegre
1,2,10,25,Alegre
1,2,11,1,Alegre
1,2,11,2,Neutral
1,2,11,3,Alegre
1,2,11,4,Alegre
1,2,11,5,Enojado
1,2,11,6,Neutral
1,2,11,7,Neutral
1,2,11,8,Triste
1,2,11,9,Neutral
1,2,11,10,Neutral
1,2,11,11,Poderoso
1,2,11,12,Enojado
1,2,11,13,Alegre
1,2,11,14,Alegre
1,2,11,15,Enojado
1,3,1,1,Alegre
1,3,1,2,Alegre
1,3,1,3,Alegre
1,3,1,4,Triste
1,3,1,5,Triste
1,3,1,6,Neutral
1,3,1,7,Neutral
1,3,1,8,Neutral
1,3,1,9,Neutral
1,3,1,10,Neutral
1,3,1,11,Enojado
1,3,1,12,Neutral
1,3,1,13,Neutral
1,3,1,14,Neutral
1,3,1,15,Neutral
1,3,1,16,Neutral
1,3,1,17,Asustado
1,3,2,1,Neutral
1,3,2,2,Tranquilo
1,3,2,3,Alegre
1,3,2,4,Poderoso
1,3,2,5,Neutral
1,3,2,6,Neutral
1,3,2,7,Neutral
1,3,2,9,Neutral
1,3,2,10,Asustado
1,3,2,11,Poderoso
1,3,2,13,Poderoso
1,3,2,14,Asustado
