año_prod,temporada,numero_episodio,titulo_episodio,duracion,resumen,director,estrellas,votos
1994,1,1,El de Monica consigue una compañera,22,Monica y el grupo presentan a Rachel el 'mundo real' después de que ella deje a su prometido en el altar.,James Burrows,8.3,7440
1994,1,2,El del sonograma al final,22,Ross descubre que su exesposa está embarazada. Rachel le devuelve su anillo de compromiso a Barry. Monica se estresa cuando los padres de ella y Ross vienen de visita.,James Burrows,8.1,4888
1994,1,3,El del pulgar,22,Monica se irrita cuando a todos les gusta su nuevo novio más que a ella. Chandler retoma su hábito de fumar. Phoebe recibe 7000 dólares tras encontrar un pulgar en una lata de refresco.,James Burrows,8.2,4605
1994,1,4,El de George Stephanopoulos,22,"Joey y Chandler llevan a Ross a un partido de hockey para que se olvide del aniversario de la primera vez que se acostó con Carol, mientras las chicas se deprimen al darse cuenta de que no tienen un 'plan'.",James Burrows,8.1,4468
1994,1,5,El del detergente de Alemania Oriental,22,"Deseoso de pasar tiempo con Rachel, Ross finge que su lavandería está infestada de ratas para poder unirse a ella. Mientras tanto, Joey hace que Monica finja ser su novia, y Chandler lucha por romper con la suya.",Pamela Fryman,8.5,4438
1994,1,6,El del culo,22,La obsesividad de Monica se pone a prueba después de que Rachel limpie el apartamento. Joey consigue un papel como doble de culo de Al Pacino. Chandler disfruta de una relación con toda la diversión pero ninguna responsabilidad.,Arlene Sanford,8.1,4274
1994,1,7,El del apagón,22,"Cuando Nueva York sufre un apagón, Ross intenta decirle a Rachel que le gusta, y Chandler se queda atrapado en un cajero con una modelo.",James Burrows,9.0,5469
1994,1,8,En el que la abuela muere dos veces,22,Monica y Ross lloran la pérdida de su abuela. Chandler se sorprende al descubrir que la gente piensa que es gay.,James Burrows,8.1,4156
1994,1,9,En el que Underdog se escapa,22,Los planes del grupo para Acción de Gracias se tuercen tras quedarse encerrados fuera del apartamento de Monica y Rachel.,James Burrows,8.2,4038
1994,1,10,El del mono,22,El grupo hace (y rompe) un pacto para no llevar parejas a su fiesta de Nochevieja. Phoebe empieza a salir con un científico. Ross compensa su soledad consiguiendo un mono.,Peter Bonerz,8.1,4064
1995,1,11,El de la Sra. Bing,22,"La extravagante madre novelista de Chandler viene de visita, y Joey la pilla besando a Ross. Mientras tanto, Monica y Phoebe se pelean por un tipo en coma.",James Burrows,8.2,3996
1995,1,12,El de la docena de lasañas,22,La relación de Rachel y Paolo sufre un bache cuando él se insinúa a Phoebe. Ross se niega a saber el sexo de su bebé hasta que nazca. Chandler y Joey van a comprar una mesa de cocina.,Paul Lazarus,8.2,3926
1995,1,13,El de las tetas,22,Joey descubre que su padre tiene una amante. Rachel intenta empatar el marcador después de que Chandler la vea desnuda accidentalmente. Phoebe sale con un psicólogo que analiza al grupo.,Alan Myerson,8.7,4172
1995,1,14,El de los corazones de caramelo,22,"Se acerca San Valentín; Ross y su cita terminan en el mismo restaurante que Carol y Susan, Joey empareja a Chandler con Janice, y las chicas queman recuerdos de sus exnovios.",James Burrows,8.3,3866
1995,1,15,El del tipo colgado,22,"Monica cocina una cena gourmet para un restaurador que busca chef, pero él llega drogado. Mientras tanto, Ross intenta dominar el 'lenguaje sucio'.",Alan Myerson,8.2,3915
1995,1,16,El de las dos partes: Parte 1,22,Phoebe se siente desplazada cuando Joey se enamora de su hermana gemela. Chandler lucha por despedir a una atractiva compañera. Ross asiste a clases de Lamaze con Carol y Susan.,Michael Lembeck,8.2,3834
1995,1,17,El de las dos partes: Parte 2,22,"Rachel intercambia su identidad con Monica para usar su seguro médico. Mientras tanto, Ursula sigue metiéndose entre Phoebe y Joey.",Michael Lembeck,8.5,3883
1995,1,18,El de todo el póker,22,"Mientras Rachel hace entrevistas de trabajo, las chicas se enfrentan a los chicos en una partida de póker.",James Burrows,8.8,4340
1995,1,19,En el que el mono se escapa,22,"El grupo busca frenéticamente al mono de Ross, Marcel, después de que Rachel lo pierda.",Peter Bonerz,8.1,3734
1995,1,20,El del ortodoncista malvado,22,"Rachel y Barry empiezan a verse de nuevo, lo cual es incómodo porque él ahora está comprometido con Mindy. Chandler se vuelve loco cuando una mujer no le devuelve la llamada.",Peter Bonerz,7.9,3736
1995,1,21,El de la falsa Monica,22,Monica se hace amiga de la mujer que le robó la tarjeta de crédito. Joey intenta buscarse un nombre artístico menos étnico.,Gail Mancuso,7.9,3769
1995,1,22,El del factor asco,22,Monica se horroriza al descubrir que su novio de secundaria es más joven de lo que pensaba. Phoebe se siente culpable por trabajar como secretaria para Chandler.,Robby Benson,8.3,3720
1995,1,23,El del nacimiento,22,"Carol se pone de parto. Ross y Susan se pelean por quién ayuda más, mientras que Joey ayuda a una madre soltera.",James Burrows,8.7,3919
1995,1,24,En el que Rachel se entera,22,"Ross se va a China por trabajo. Mientras tanto, Chandler suelta accidentalmente que Ross está enamorado de Rachel durante su fiesta de cumpleaños.",Kevin Bright,8.9,4187
1995,2,1,El de la nueva novia de Ross,22,"Ross regresa de China con una nueva novia, Julie, para consternación de Rachel.",Michael Lembeck,8.5,3814
1995,2,2,El de la leche materna,22,Los chicos se sienten incómodos con la lactancia materna de Carol. Rachel se enfada por la amistad de Monica con Julie.,Michael Lembeck,8.2,3669
1995,2,3,En el que muere Heckles,22,El Sr. Heckles muere y le deja todas sus pertenencias a Monica y Rachel. Chandler teme terminar solo como él.,Kevin Bright,8.4,3676
1995,2,4,El del marido de Phoebe,22,El grupo descubre que Phoebe está casada con un patinador sobre hielo gay para ayudarle con su tarjeta de residencia.,Gail Mancuso,8.0,3555
1995,2,5,El de los cinco filetes y una berenjena,22,Las diferencias de ingresos crean tensión en el grupo cuando planean celebrar el cumpleaños de Ross.,Ellen Gittelsohn,8.3,3550
1995,2,6,El del bebé en el autobús,22,Chandler y Joey cuidan al bebé de Ross y accidentalmente lo olvidan en un autobús.,Gail Mancuso,8.6,3822
1995,2,7,En el que Ross se entera,22,Rachel se emborracha en una cita y deja un mensaje en el contestador de Ross confesando sus sentimientos.,Peter Bonerz,9.0,4319
1995,2,8,El de la lista,22,"Ross hace una lista de pros y contras para elegir entre Julie y Rachel, pero Rachel la encuentra.",Mary Kay Place,8.5,3581
