temporada,episodio,titulo,director,fecha_estreno,audiencia_millones,nota_imdb
1,1,El de mónica consigue una compañera,James Burrows,1994-09-22,21.5,8.3
1,2,El del sonograma al final,James Burrows,1994-09-29,20.2,8.1
1,3,El del pulgar,James Burrows,1994-10-06,19.5,8.2
1,4,El de George Stephanopoulos,James Burrows,1994-10-13,19.7,8.1
1,5,El del detergente de Alemania Oriental,Pamela Fryman,1994-10-20,18.6,8.5
1,6,El del culo,Arlene Sanford,1994-10-27,18.2,8.1
1,7,El del apagón,James Burrows,1994-11-03,23.5,9.0
1,8,En el que la abuela muere dos veces,James Burrows,1994-11-10,21.1,8.1
1,9,En el que Underdog se escapa,James Burrows,1994-11-17,23.1,8.2
1,10,El del mono,Peter Bonerz,1994-12-15,19.9,8.1
1,11,El de la Sra. Bing,James Burrows,1995-01-05,26.6,8.2
1,12,El de la docena de lasañas,Paul Lazarus,1995-01-12,24.0,8.2
1,13,El de las tetas,Alan Myerson,1995-01-19,25.8,8.7
1,14,El de los corazones de caramelo,James Burrows,1995-02-09,23.8,8.3
1,15,El del tipo colgado,Alan Myerson,1995-02-16,24.8,8.2
1,16,El de las dos partes: Parte 1,Michael Lembeck,1995-02-23,26.1,8.2
1,17,El de las dos partes: Parte 2,Michael Lembeck,1995-02-23,30.5,8.5
1,18,El de todo el póker,James Burrows,1995-03-02,30.4,8.8
1,19,En el que el mono se escapa,Peter Bonerz,1995-03-09,29.4,8.1
1,20,El del ortodoncista malvado,Peter Bonerz,1995-04-06,30.0,7.9
1,21,El de la falsa Mónica,Gail Mancuso,1995-04-27,28.4,7.9
1,22,El del factor asco,Robby Benson,1995-05-04,29.9,8.3
1,23,El del nacimiento,James Burrows,1995-05-11,28.7,8.7
1,24,En el que Rachel se entera,Kevin S. Bright,1995-05-18,31.3,8.9
2,1,El de la nueva novia de Ross,Michael Lembeck,1995-09-21,32.1,8.5
2,2,El de la leche materna,Michael Lembeck,1995-09-28,29.8,8.2
2,3,En el que muere Heckles,Kevin S. Bright,1995-10-05,30.2,8.4
2,4,El del marido de Phoebe,Gail Mancuso,1995-10-12,28.1,8.0
2,5,El de los cinco filetes y una berenjena,Ellen Gittelsohn,1995-10-19,28.3,8.3
2,6,El del bebé en el autobús,Gail Mancuso,1995-11-02,30.2,8.6
2,7,En el que Ross se entera,Peter Bonerz,1995-11-09,30.5,9.0
2,8,El de la lista,Mary Kay Place,1995-11-16,32.9,8.5
2,9,El del padre de Phoebe,Kevin S. Bright,1995-12-14,27.8,8.0
2,10,El de Russ,Thomas Schlamme,1996-01-04,32.2,8.0
2,11,El de la boda lesbiana,Thomas Schlamme,1996-01-18,31.6,8.1
2,12,El de después de la Superbowl: Parte 1,Michael Lembeck,1996-01-28,52.9,8.6
2,13,El de después de la Superbowl: Parte 2,Michael Lembeck,1996-01-28,52.9,8.8
2,14,El del vídeo de la promoción,James Burrows,1996-02-01,33.6,9.4
2,15,En el que Ross y Rachel... ya sabes,Michael Lembeck,1996-02-08,32.9,8.9
