heautor,numero_episodio,titulo_episodio,cita,orden_cita,temporada
Monica,1.0,Monica Gets A Roommate,¡No hay nada que contar! ¡Es sólo un tipo con el que trabajo!,0.0,1.0
Joey,1.0,Monica Gets A Roommate,"¡Vamos, vas a salir con el chico! ¡Tiene que haber algo mal con él!",1.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Muy bien Joey, sé amable. Entonces ¿tiene joroba? ¿Una joroba y un postizo?",2.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"Espera, ¿come tiza?",3.0,1.0
Phoebe,1.0,Monica Gets A Roommate,Sólo porque no quiero que ella pase por lo que yo pasé con Carl- ¡oh!,4.0,1.0
Monica,1.0,Monica Gets A Roommate,"Bien, todos relájense. Esto ni siquiera es una cita. Son sólo dos personas saliendo a cenar y... sin tener sexo.",5.0,1.0
Chandler,1.0,Monica Gets A Roommate,Me parece una cita.,6.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Muy bien, estoy de regreso en la escuela secundaria, estoy parado en medio de la cafetería y me doy cuenta de que estoy totalmente desnudo.",7.0,1.0
All,1.0,Monica Gets A Roommate,Oh sí. Tuve ese sueño.,8.0,1.0
Chandler,1.0,Monica Gets A Roommate,Luego miro hacia abajo y me doy cuenta de que hay un teléfono... ahí.,9.0,1.0
Joey,1.0,Monica Gets A Roommate,En lugar de...?,10.0,1.0
Chandler,1.0,Monica Gets A Roommate,Así es.,11.0,1.0
Joey,1.0,Monica Gets A Roommate,Nunca tuve ese sueño.,12.0,1.0
Phoebe,1.0,Monica Gets A Roommate,No.,13.0,1.0
Chandler,1.0,Monica Gets A Roommate,"De repente, el teléfono empieza a sonar. Ahora no sé qué hacer, todos empiezan a mirarme.",14.0,1.0
Monica,1.0,Monica Gets A Roommate,¡¿Y no te estaban mirando antes?!,15.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Finalmente, pensé que sería mejor contestar, y resulta que es mi madre, lo cual es muy, muy raro, porque... ¡ella nunca me llama!",16.0,1.0
Ross,1.0,Monica Gets A Roommate,(mortificado) Hola.,17.0,1.0
Joey,1.0,Monica Gets A Roommate,"Este tipo dice hola, quiero suicidarme.",18.0,1.0
Monica,1.0,Monica Gets A Roommate,"¿Estás bien, cariño?",19.0,1.0
Ross,1.0,Monica Gets A Roommate,"Siento como si alguien me hubiera metido la mano en la garganta, hubiera agarrado mi intestino delgado, lo hubiera sacado de mi boca y lo hubiera atado alrededor de mi cuello...",20.0,1.0
Chandler,1.0,Monica Gets A Roommate,¿Galleta?,21.0,1.0
Monica,1.0,Monica Gets A Roommate,(explicándole a los demás) Carol sacó sus cosas hoy.,22.0,1.0
Joey,1.0,Monica Gets A Roommate,Oh.,23.0,1.0
Monica,1.0,Monica Gets A Roommate,(a Ross) Déjame traerte un poco de café.,24.0,1.0
Ross,1.0,Monica Gets A Roommate,Gracias.,25.0,1.0
Phoebe,1.0,Monica Gets A Roommate,¡Oh! ¡Oh! (Ella comienza a tirar del aire justo en frente de Ross.),26.0,1.0
Ross,1.0,Monica Gets A Roommate,"¡No, no, no lo hagas! ¡Deja de limpiar mi aura! No, solo deja mi aura en paz, ¿de acuerdo?",27.0,1.0
Phoebe,1.0,Monica Gets A Roommate,¡Bien! ¡Sé turbio!,28.0,1.0
Ross,1.0,Monica Gets A Roommate,"Estaré bien, ¿vale? De verdad, todos. Espero que sea muy feliz.",29.0,1.0
Monica,1.0,Monica Gets A Roommate,"No, no lo haces.",30.0,1.0
Ross,1.0,Monica Gets A Roommate,"No, no lo hago, ¡al diablo con ella, ella me dejó!",31.0,1.0
Joey,1.0,Monica Gets A Roommate,Y nunca supiste que ella era lesbiana...,32.0,1.0
Ross,1.0,Monica Gets A Roommate,"¡¡No!! ¡¿Bueno?! ¿Por qué todo el mundo sigue obsesionándose con eso? Ella no lo sabía, ¿cómo debería saberlo?",33.0,1.0
Chandler,1.0,Monica Gets A Roommate,A veces quisiera ser lesbiana... (Todos lo miran fijamente.) ¿Dije eso en voz alta?,34.0,1.0
Ross,1.0,Monica Gets A Roommate,Anoche les dije a mamá y papá que parecieron tomarlo bastante bien.,35.0,1.0
Monica,1.0,Monica Gets A Roommate,"Oh, de verdad, entonces esa llamada telefónica histérica que recibí de una mujer sollozando a las 3:00 a. m.: ""Nunca tendré nietos, nunca tendré nietos"". fue que? ¿Un número equivocado?",36.0,1.0
Ross,1.0,Monica Gets A Roommate,Lo siento.,37.0,1.0
Joey,1.0,Monica Gets A Roommate,"Muy bien Ross, mira. Estás sintiendo mucho dolor en este momento. Estás enojado. Estás sufriendo. ¿Puedo decirte cuál es la respuesta?",38.0,1.0
Joey,1.0,Monica Gets A Roommate,"¡Un porro de striptease! ¡Vamos, estás soltero! ¡Ten algunas hormonas!",39.0,1.0
Ross,1.0,Monica Gets A Roommate,"No quiero estar soltero, ¿vale? Yo sólo... yo sólo... ¡sólo quiero casarme de nuevo!",40.0,1.0
Chandler,1.0,Monica Gets A Roommate,¡Y sólo quiero un millón de dólares! (Extiende su mano esperanzado.),41.0,1.0
Monica,1.0,Monica Gets A Roommate,¿¡Raquel?!,42.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Oh Dios Mónica hola! ¡Gracias a Dios! Fui a tu edificio y no estabas allí y entonces este tipo con un gran martillo dijo que podrías estar aquí y lo estás, ¡lo estás!",43.0,1.0
Waitress,1.0,Monica Gets A Roommate,¿Puedo traerte un poco de café?,44.0,1.0
Monica,1.0,Monica Gets A Roommate,"(señalando a Rachel) Descafé. (a todos) Bien, todos, esta es Rachel, otra sobreviviente de Lincoln High. (a Rachel) Estos son todos, estos son Chandler, Phoebe, Joey y... ¿recuerdas a mi hermano Ross?",45.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Hola, claro!",46.0,1.0
Ross,1.0,Monica Gets A Roommate,Hola.,47.0,1.0
Monica,1.0,Monica Gets A Roommate,¿Quieres decírnoslo ahora o estamos esperando a cuatro damas de honor mojadas?,48.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Oh Dios... bueno, empezó aproximadamente media hora antes de la boda. Estaba en la habitación donde guardábamos todos los regalos y estaba mirando esta salsera. Esta salsera Lamauge realmente hermosa. Cuando de repente- (a la camarera que le trajo el café) ¿Sweet 'n' Lo?- ¡Me di cuenta de que estaba más excitada por esta salsera que por Barry! Y luego me asusté mucho, y fue entonces cuando me di cuenta: cuánto se parece Barry al Sr. Potato Head. Ya sabes, quiero decir, siempre supe que me resultaba familiar, pero... De todos modos, tenía que salir de allí y comencé a preguntarme: '¿Por qué estoy haciendo esto y para quién estoy haciendo esto?'. (a Mónica) De todos modos no sabía adónde ir, y sé que tú y yo nos hemos distanciado un poco, pero eres la única persona que conozco que vive aquí en la ciudad.",49.0,1.0
Monica,1.0,Monica Gets A Roommate,Que no fue invitado a la boda.,50.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Ooh, esperaba que eso no fuera un problema... Escena: Apartamento de Mónica, todos están allí viendo una telenovela española en la televisión y están tratando de descubrir qué está pasando.]",51.0,1.0
Monica,1.0,Monica Gets A Roommate,Ahora supongo que él le compró el órgano de tubos grande y ella realmente no está contenta con eso.,52.0,1.0
Chandler,1.0,Monica Gets A Roommate,(imitando a los personajes) ¿Ensalada de atún o huevo? ¡Decidir!,53.0,1.0
Ross,1.0,Monica Gets A Roommate,(con voz profunda) Tomaré lo que sea que Christine esté tomando.,54.0,1.0
Rachel,1.0,Monica Gets A Roommate,"(al teléfono) Papá, yo simplemente... ¡No puedo casarme con él! Lo lamento. Simplemente no lo amo. Bueno, ¡a mí me importa!",55.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"Si me suelto el pelo, se me caerá la cabeza.",56.0,1.0
Chandler,1.0,Monica Gets A Roommate,"(re TV) Ooh, ella no debería usar esos pantalones.",57.0,1.0
Joey,1.0,Monica Gets A Roommate,Yo digo que la empujes escaleras abajo.,58.0,1.0
"Phoebe, Ross, Chandler, and Joey",1.0,Monica Gets A Roommate,¡Empujala escaleras abajo! ¡Empujala escaleras abajo! ¡Empujala escaleras abajo!,59.0,1.0
Rachel,1.0,Monica Gets A Roommate,"¡Vamos papá, escúchame! Es como si toda mi vida todos me hubieran dicho: '¡Eres un zapato! ¡Eres un zapato, eres un zapato, eres un zapato!'. Y hoy me detuve y dije: '¿Qué pasa si no quiero ser un zapato? ¿Qué pasa si quiero ser un bolso, sabes? ¡O un-o un sombrero! No, no digo que quiera que me compres un sombrero, digo que soy un ha- ¡Es una metáfora, papá!",60.0,1.0
Ross,1.0,Monica Gets A Roommate,Puedes ver dónde tendría problemas.,61.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Mira papá, es mi vida. Bueno, tal vez me quede aquí con Mónica.",62.0,1.0
Monica,1.0,Monica Gets A Roommate,"Bueno, supongo que hemos establecido quién se queda aquí con Mónica...",63.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Bueno, tal vez esa sea mi decisión. Bueno, tal vez no necesito tu dinero. ¡¡Esperar!! ¡¡Espera, dije tal vez!!",64.0,1.0
Monica,1.0,Monica Gets A Roommate,"Sólo respira, respira... eso es todo. Sólo trata de pensar en cosas agradables y tranquilas...",65.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"(canta) Gotas de lluvia sobre rosas, conejos y gatitos (Rachel y Mónica se giran para mirarla). Campanillas y campanillas y... algo con guantes... La la la la... algo y fideos con hilo. Estos son algunos...",66.0,1.0
Rachel,1.0,Monica Gets A Roommate,Estoy mejor ahora.,67.0,1.0
Phoebe,1.0,Monica Gets A Roommate,(sonríe y camina hacia la cocina y les dice a Chandler y Joey.) ¡Yo ayudé!,68.0,1.0
Monica,1.0,Monica Gets A Roommate,"Vale, mira, esto probablemente sea lo mejor, ¿sabes? Independencia. Tomando el control de tu vida. Todo el asunto del 'sombrero'.",69.0,1.0
Joey,1.0,Monica Gets A Roommate,"(consolándola) Y oye, si necesitas cualquier cosa, siempre puedes acudir a Joey. Chandler y yo vivimos al otro lado del pasillo. Y él está fuera mucho.",70.0,1.0
Monica,1.0,Monica Gets A Roommate,"¡Joey, deja de coquetear con ella! ¡Es el día de su boda!",71.0,1.0
Joey,1.0,Monica Gets A Roommate,"¿Qué, como si hubiera una regla o algo así?",72.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Por favor, no vuelvas a hacer eso, es un sonido horrible.",73.0,1.0
Paul,1.0,Monica Gets A Roommate,"(por el intercomunicador) Soy, eh, es Paul.",74.0,1.0
Monica,1.0,Monica Gets A Roommate,"Oh Dios, ¿son las 6:30? ¡Entra!",75.0,1.0
Joey,1.0,Monica Gets A Roommate,¿Quién es Pablo?,76.0,1.0
Ross,1.0,Monica Gets A Roommate,"¿Paul el chico del vino, Paul?",77.0,1.0
Monica,1.0,Monica Gets A Roommate,"Tal vez. Joey: Espera. ¿Tu 'cita no real' de esta noche es con Paul, el chico del vino?",78.0,1.0
Ross,1.0,Monica Gets A Roommate,¿Finalmente te invitó a salir?,79.0,1.0
Monica,1.0,Monica Gets A Roommate,¡Sí!,80.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Oh, este es un momento de Dear Diary.",81.0,1.0
Monica,1.0,Monica Gets A Roommate,"Rach, espera, puedo cancelar...",82.0,1.0
Rachel,1.0,Monica Gets A Roommate,"Por favor, no, vete, ¡eso estaría bien!",83.0,1.0
Monica,1.0,Monica Gets A Roommate,"(a Ross) ¿Estás, estás bien? Quiero decir, ¿quieres que me quede?",84.0,1.0
Ross,1.0,Monica Gets A Roommate,(voz ahogada) Eso sería bueno...,85.0,1.0
Monica,1.0,Monica Gets A Roommate,(horrorizado) ¿En serio?,86.0,1.0
Ross,1.0,Monica Gets A Roommate,"(voz normal) ¡No, continúa! ¡Es Paul, el chico del vino!",87.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"¿Qué significa eso? ¿Lo vende, lo bebe o simplemente se queja mucho? (Chandler no lo sabe.)",88.0,1.0
Monica,1.0,Monica Gets A Roommate,"Hola, entra! Paul, este es... (Están todos alineados junto a la puerta).... todos, todos, este es Paul.",89.0,1.0
All,1.0,Monica Gets A Roommate,¡Ey! ¡Pablo! ¡Hola! ¡El chico del vino! ¡Ey!,90.0,1.0
Chandler,1.0,Monica Gets A Roommate,"Lo siento, no entendí tu nombre. Pablo, ¿lo fue?",91.0,1.0
Monica,1.0,Monica Gets A Roommate,"Está bien, umm-umm, ya vuelvo, sólo tengo que irme, irme...",92.0,1.0
Ross,1.0,Monica Gets A Roommate,¿Un deambular?,93.0,1.0
Monica,1.0,Monica Gets A Roommate,"¡Cambiar! Está bien, siéntate. (Muestra a Paul entrando) Dos segundos.",94.0,1.0
Phoebe,1.0,Monica Gets A Roommate,"Ooh, acabo de sacar cuatro pestañas. Eso no puede ser bueno.",95.0,1.0
Joey,1.0,Monica Gets A Roommate,"¡Oye, Pablo!",96.0,1.0
Paul,1.0,Monica Gets A Roommate,¿Sí?,97.0,1.0
Joey,1.0,Monica Gets A Roommate,"Aquí tienes un pequeño consejo, a ella le gusta mucho que le frotes el cuello en el mismo lugar una y otra vez hasta que empiece a ponerse un poco rojo.",98.0,1.0
Monica,1.0,Monica Gets A Roommate,"(gritando desde el dormitorio) ¡Cállate, Joey!",99.0,1.0
