temporada,numero_episodio,cancion,descripcion
1,1x01,Your Love,Tu amor es como una paloma gigante...
1,1x10,Snowman,¿Cómo iba a saber que mi madre estaba muerta en la cocina?
1,1x23,Babies,Son pequeños y regordetes y tan dulces de tocar.
2,2x06,Smelly Cat,Su mayor éxito. ¿Qué te están dando de comer?
2,2x06,Terry's a Jerk,¡Terry es un imbécil y no me deja trabajar!
2,2x08,Two of Them Kissed,Resumen del drama entre Ross, Rachel y Julie.
2,2x12,The Grandmother Song,Ahora la abuela es una persona que le gusta a todo el mundo...
2,2x12,Sexual Freedom,La vaca en el prado hace muuu...
3,3x08,Endless Love,Dúo con Chandler.
3,3x14,Sticky Shoes,Mis zapatos favoritos, tan buenos conmigo.
3,3x14,Jingle Bitch,¡La perra del jingle me la jugó!
4,4x05,The 66 Colors of my Bedroom,Canción interrumpida por Joey.
4,4x10,The Holiday Song,"¡Monica, Monica, feliz Janucá!"
5,5x10,The Girl Who Hits Joey,Sobre la novia violenta de Joey.
5,5x13,The Phoebe Song,P-H-O-E-B-E...
6,6x07,Running Song,Y el viejo cascarrabias dijo 'Haré lo que pueda'
7,7x15,The Geller Cup,Mención a la Copa Geller.
7,7x19,The Shower Song,Estoy en la ducha y escribiendo una canción.
9,9x07,Baby Got Back (Nana),Versión para Emma con Rachel.
9,9x13,Emma's Lullaby,Chica dormilona con los pies apestosos.
10,10x07,The Wedding Song,Intento fallido para la boda de Monica y Chandler.
