text,speaker,season,episode_number,scene,utterance
¡No hay nada que contar! ¡Es sólo un tipo con el que trabajo!,Monica Geller,1,1,1,1
"¡Vamos, vas a salir con el chico! ¡Tiene que haber algo mal con él!",Joey Tribbiani,1,1,1,2
"Muy bien Joey, sé amable. Entonces ¿tiene joroba? ¿Una joroba y un postizo?",Chandler Bing,1,1,1,3
"Espera, ¿come tiza?",Phoebe Buffay,1,1,1,4
"(Todos se quedan mirando, desconcertados.)",Scene Directions,1,1,1,5
Sólo porque no quiero que ella pase por lo que yo pasé con Carl- ¡oh!,Phoebe Buffay,1,1,1,6
"Bien, todos relájense. Esto ni siquiera es una cita. Son sólo dos personas saliendo a cenar y... sin tener sexo.",Monica Geller,1,1,1,7
Me parece una cita.,Chandler Bing,1,1,1,8
[Lapso de tiempo],Scene Directions,1,1,1,9
"Muy bien, estoy de regreso en la escuela secundaria, estoy parado en medio de la cafetería y me doy cuenta de que estoy totalmente desnudo.",Chandler Bing,1,1,1,10
Oh sí. Tuve ese sueño.,#ALL#,1,1,1,11
Luego miro hacia abajo y me doy cuenta de que hay un teléfono... ahí.,Chandler Bing,1,1,1,12
En lugar de...?,Joey Tribbiani,1,1,1,13
Así es.,Chandler Bing,1,1,1,14
Nunca tuve ese sueño.,Joey Tribbiani,1,1,1,15
No.,Phoebe Buffay,1,1,1,16
"De repente, el teléfono empieza a sonar. Ahora no sé qué hacer, todos empiezan a mirarme.",Chandler Bing,1,1,1,17
¡¿Y no te estaban mirando antes?!,Monica Geller,1,1,1,18
"Finalmente, pensé que sería mejor contestar, y resulta que es mi madre, lo cual es muy, muy raro, porque... ¡ella nunca me llama!",Chandler Bing,1,1,1,19
"[Lapso de tiempo, Ross ha entrado.]",Scene Directions,1,1,1,20
Hola.,Ross Geller,1,1,1,21
"Este tipo dice hola, quiero suicidarme.",Joey Tribbiani,1,1,1,22
"¿Estás bien, cariño?",Monica Geller,1,1,1,23
