temporada,numero_episodio,guionista
1,1,David Crane
1,1,Marta Kauffman
1,2,David Crane
1,2,Marta Kauffman
1,3,Jeffrey Astrof
1,3,Mike Sikowitz
1,4,Alexa Junge
1,5,Jeff Greenstein
1,5,Jeff Strauss
1,6,Adam Chase
1,6,Ira Ungerleider
1,7,Jeffrey Astrof
1,7,Mike Sikowitz
1,8,Marta Kauffman
1,8,David Crane
1,9,Jeff Greenstein
1,9,Jeff Strauss
1,10,Adam Chase
1,10,Ira Ungerleider
1,11,Alexa Junge
1,12,Jeffrey Astrof
1,12,Mike Sikowitz
1,12,Adam Chase
1,12,Ira Ungerleider
1,13,Alexa Junge
1,14,Bill Lawrence
1,15,Jeff Greenstein
1,15,Jeff Strauss
1,16,Marta Kauffman
1,16,David Crane
1,17,Marta Kauffman
1,17,David Crane
1,18,Jeffrey Astrof
1,18,Mike Sikowitz
1,19,Jeffrey Astrof
1,19,Mike Sikowitz
1,20,Doty Abrams
1,21,Adam Chase
1,21,Ira Ungerleider
1,22,Alexa Junge
1,24,Chris Brown
2,1,Jeffrey Astrof
2,1,Mike Sikowitz
2,2,Adam Chase
2,2,Ira Ungerleider
2,3,Michael Curtis
2,3,Gregory S. Malins
2,4,Alexa Junge
2,5,Chris Brown
2,6,Betsy Borns
2,7,Michael Borkow
2,8,David Crane
2,8,Marta Kauffman
2,9,Jeffrey Astrof
2,9,Mike Sikowitz
2,10,Ira Ungerleider
2,11,Doty Abrams
2,12,Jeffrey Astrof
2,12,Mike Sikowitz
2,12,Michael Borkow
2,13,Jeffrey Astrof
2,13,Mike Sikowitz
2,13,Michael Borkow
2,14,Alexa Junge
2,15,Michael Curtis
2,15,Gregory S. Malins
2,16,Betsy Borns
2,17,Adam Chase
2,19,Michael Curtis
2,19,Gregory S. Malins
2,21,Brian Buckner
2,21,Sebastian Jones
2,22,Alexa Junge
2,23,Brown Mandell
3,1,Michael Curtis
3,1,Gregory S. Malins
3,2,Ira Ungerleider
3,3,Wil Calhoun
3,4,Alexa Junge
3,5,Shana Goldberg-Meehan
3,5,Scott Silveri
3,6,David Crane
3,6,Marta Kauffman
3,7,Seth Kurland
3,8,Adam Chase
3,9,Ira Ungerleider
3,10,Gregory S. Malins
3,10,Michael Curtis
3,11,Alexa Junge
3,12,Doty Abrams
3,13,Michael Borkow
3,14,Wil Calhoun
3,15,Michael Borkow
3,16,David Crane
3,16,Marta Kauffman
3,17,Shana Goldberg-Meehan
3,17,Scott Silveri
3,18,Seth Kurland
3,19,Adam Chase
3,20,Wil Calhoun
3,21,Chris Brown
3,22,Shana Goldberg-Meehan
3,22,Scott Silveri
3,23,Ted Cohen
3,23,Andrew Reich
4,1,Wil Calhoun
4,2,Jill Condon
4,2,Amy Toomin
4,3,Seth Kurland
4,4,Ted Cohen
4,4,Andrew Reich
4,5,Gregory S. Malins
4,5,Michael Curtis
4,6,Shana Goldberg-Meehan
4,6,Scott Silveri
4,7,Adam Chase
4,8,Michael Borkow
4,9,Ted Cohen
4,9,Andrew Reich
4,10,Scott Silveri
4,11,Seth Kurland
4,12,Jill Condon
4,12,Amy Toomin
4,13,Shana Goldberg-Meehan
4,14,Wil Calhoun
4,19,Scott Silveri
4,19,Wil Calhoun
4,21,Seth Kurland
5,1,Seth Kurland
5,2,Wil Calhoun
5,3,David Crane
5,3,Marta Kauffman
5,4,Michael Curtis
5,5,Scott Silveri
5,6,Alexa Junge
5,7,Gigi Mc
5,7,Creery
5,7,Perry Rein
5,8,Gregory S. Malins
5,9,Ted Cohen
5,9,Andrew Reich
5,10,Shana Goldberg-Meehan
5,12,Alicia Sky Varinaitis
5,14,Alexa Junge
5,15,Adam Chase
5,17,Andrew Reich
5,17,Ted Cohen
5,18,Michael Curtis
5,19,Doty Abrams
5,20,Shana Goldberg-Meehan
5,20,Seth Kurland
5,23,Ted Cohen
5,23,Andrew Reich
5,23,Gregory S. Malins
5,23,Scott Silveri
5,24,Ted Cohen
5,24,Andrew Reich
5,24,Gregory S. Malins
5,24,Scott Silveri
6,1,Adam Chase
6,2,Shana Goldberg-Meehan
6,3,Seth Kurland
6,4,Andrew Reich
6,4,Ted Cohen
6,5,Perry Rein
6,5,Gigi Mc
6,5,Creery
6,6,Scott Silveri
6,7,Sherry Bilsing-Graham
6,7,Ellen Plummer
6,9,Gregory S. Malins
6,10,Brian Boyle
6,14,Andrew Reich
6,14,Ted Cohen
6,15,Gregory S. Malins
6,15,Adam Chase
6,15,David Crane
6,15,Marta Kauffman
6,16,Gregory S. Malins
6,16,Adam Chase
6,16,David Crane
6,16,Marta Kauffman
6,18,Seth Kurland
6,20,Doty Abrams
6,23,Ted Cohen
6,23,Andrew Reich
6,24,Shana Goldberg-Meehan
6,24,Scott Silveri
6,24,Andrew Reich
6,24,Ted Cohen
6,25,Shana Goldberg-Meehan
6,25,Scott Silveri
6,25,Andrew Reich
6,25,Ted Cohen
7,2,Andrew Reich
7,2,Ted Cohen
7,3,Sherry Bilsing
