temporada,episodio,guionista,rol
1,1,David Crane,Guionista
1,1,Marta Kauffman,Guionista
1,2,David Crane,Guionista
1,2,Marta Kauffman,Guionista
1,3,Jeffrey Astrof,Guionista
1,3,Mike Sikowitz,Guionista
1,4,Alexa Junge,Guionista
1,5,Jeff Greenstein,Guionista
1,5,Jeff Strauss,Guionista
1,6,Adam Chase,Guionista
1,6,Ira Ungerleider,Guionista
1,7,Jeffrey Astrof,Guionista
1,7,Mike Sikowitz,Guionista
1,8,Marta Kauffman,Guionista
1,8,David Crane,Guionista
1,9,Jeff Greenstein,Guionista
1,9,Jeff Strauss,Guionista
1,10,Adam Chase,Guionista
1,10,Ira Ungerleider,Guionista
1,11,Alexa Junge,Guionista
1,12,Jeffrey Astrof,Guionista
1,12,Mike Sikowitz,Guionista
1,12,Adam Chase,Guionista
1,12,Ira Ungerleider,Guionista
1,13,Alexa Junge,Guionista
1,14,Bill Lawrence,Guionista
1,15,Jeff Greenstein,Guionista
1,15,Jeff Strauss,Guionista
1,16,Marta Kauffman,Guionista
1,16,David Crane,Guionista
1,17,Marta Kauffman,Guionista
1,17,David Crane,Guionista
1,18,Jeffrey Astrof,Guionista
1,18,Mike Sikowitz,Guionista
1,19,Jeffrey Astrof,Guionista
1,19,Mike Sikowitz,Guionista
1,20,Doty Abrams,Guionista
1,21,Adam Chase,Guionista
1,21,Ira Ungerleider,Guionista
1,22,Alexa Junge,Guionista
1,24,Chris Brown,Guionista
2,1,Jeffrey Astrof,Guionista
2,1,Mike Sikowitz,Guionista
2,2,Adam Chase,Guionista
2,2,Ira Ungerleider,Guionista
2,3,Michael Curtis,Guionista
2,3,Gregory S. Malins,Guionista
2,4,Alexa Junge,Guionista
2,5,Chris Brown,Guionista
2,6,Betsy Borns,Guionista
2,7,Michael Borkow,Guionista
2,8,David Crane,Guionista
2,8,Marta Kauffman,Guionista
2,9,Jeffrey Astrof,Guionista
2,9,Mike Sikowitz,Guionista
2,10,Ira Ungerleider,Guionista
2,11,Doty Abrams,Guionista
2,12,Jeffrey Astrof,Guionista
2,12,Mike Sikowitz,Guionista
2,12,Michael Borkow,Guionista
2,13,Jeffrey Astrof,Guionista
2,13,Mike Sikowitz,Guionista
2,13,Michael Borkow,Guionista
2,14,Alexa Junge,Guionista
2,15,Michael Curtis,Guionista
2,15,Gregory S. Malins,Guionista
2,16,Betsy Borns,Guionista
2,17,Adam Chase,Guionista
2,19,Michael Curtis,Guionista
2,19,Gregory S. Malins,Guionista
2,21,Brian Buckner,Guionista
2,21,Sebastian Jones,Guionista
2,22,Alexa Junge,Guionista
2,23,Brown Mandell,Guionista
3,1,Michael Curtis,Guionista
3,1,Gregory S. Malins,Guionista
3,2,Ira Ungerleider,Guionista
3,3,Wil Calhoun,Guionista
3,4,Alexa Junge,Guionista
3,5,Shana Goldberg-Meehan,Guionista
3,5,Scott Silveri,Guionista
3,6,David Crane,Guionista
3,6,Marta Kauffman,Guionista
3,7,Seth Kurland,Guionista
3,8,Adam Chase,Guionista
3,9,Ira Ungerleider,Guionista
3,10,Gregory S. Malins,Guionista
3,10,Michael Curtis,Guionista
3,11,Alexa Junge,Guionista
3,12,Doty Abrams,Guionista
3,13,Michael Borkow,Guionista
3,14,Wil Calhoun,Guionista
3,15,Michael Borkow,Guionista
3,16,David Crane,Guionista
3,16,Marta Kauffman,Guionista
3,17,Shana Goldberg-Meehan,Guionista
3,17,Scott Silveri,Guionista
3,18,Seth Kurland,Guionista
3,19,Adam Chase,Guionista
3,20,Wil Calhoun,Guionista
3,21,Chris Brown,Guionista
3,22,Shana Goldberg-Meehan,Guionista
3,22,Scott Silveri,Guionista
3,23,Ted Cohen,Guionista
3,23,Andrew Reich,Guionista
4,1,Wil Calhoun,Guionista
4,2,Jill Condon,Guionista
4,2,Amy Toomin,Guionista
4,3,Seth Kurland,Guionista
4,4,Ted Cohen,Guionista
4,4,Andrew Reich,Guionista
4,5,Gregory S. Malins,Guionista
4,5,Michael Curtis,Guionista
4,6,Shana Goldberg-Meehan,Guionista
4,6,Scott Silveri,Guionista
4,7,Adam Chase,Guionista
4,8,Michael Borkow,Guionista
4,9,Ted Cohen,Guionista
4,9,Andrew Reich,Guionista
4,10,Scott Silveri,Guionista
4,11,Seth Kurland,Guionista
4,12,Jill Condon,Guionista
4,12,Amy Toomin,Guionista
4,13,Shana Goldberg-Meehan,Guionista
4,14,Wil Calhoun,Guionista
4,19,Scott Silveri,Guionista
4,19,Wil Calhoun,Guionista
4,21,Seth Kurland,Guionista
5,1,Seth Kurland,Guionista
5,2,Wil Calhoun,Guionista
5,3,David Crane,Guionista
5,3,Marta Kauffman,Guionista
5,4,Michael Curtis,Guionista
5,5,Scott Silveri,Guionista
5,6,Alexa Junge,Guionista
5,7,Gigi Mc,Guionista
5,7,Creery,Guionista
5,7,Perry Rein,Guionista
5,8,Gregory S. Malins,Guionista
5,9,Ted Cohen,Guionista
5,9,Andrew Reich,Guionista
5,10,Shana Goldberg-Meehan,Guionista
5,12,Alicia Sky Varinaitis,Guionista
5,14,Alexa Junge,Guionista
5,15,Adam Chase,Guionista
5,17,Andrew Reich,Guionista
5,17,Ted Cohen,Guionista
5,18,Michael Curtis,Guionista
5,19,Doty Abrams,Guionista
5,20,Shana Goldberg-Meehan,Guionista
5,20,Seth Kurland,Guionista
5,23,Ted Cohen,Guionista
5,23,Andrew Reich,Guionista
5,23,Gregory S. Malins,Guionista
5,23,Scott Silveri,Guionista
5,24,Ted Cohen,Guionista
5,24,Andrew Reich,Guionista
5,24,Gregory S. Malins,Guionista
5,24,Scott Silveri,Guionista
6,1,Adam Chase,Guionista
6,2,Shana Goldberg-Meehan,Guionista
6,3,Seth Kurland,Guionista
6,4,Andrew Reich,Guionista
6,4,Ted Cohen,Guionista
6,5,Perry Rein,Guionista
6,5,Gigi Mc,Guionista
6,5,Creery,Guionista
6,6,Scott Silveri,Guionista
6,7,Sherry Bilsing-Graham,Guionista
6,7,Ellen Plummer,Guionista
6,9,Gregory S. Malins,Guionista
6,10,Brian Boyle,Guionista
6,14,Andrew Reich,Guionista
6,14,Ted Cohen,Guionista
6,15,Gregory S. Malins,Guionista
6,15,Adam Chase,Guionista
6,15,David Crane,Guionista
6,15,Marta Kauffman,Guionista
6,16,Gregory S. Malins,Guionista
6,16,Adam Chase,Guionista
