autor,numero_episodio,titulo_episodio,cita,orden_cita,temporada
Monica,1,Mónica consigue un compañero de cuarto,¡No hay nada que contar! ¡Es sólo un tipo con el que trabajo!,0,1
Joey,1,Mónica consigue un compañero de cuarto,"¡Vamos, vas a salir con el chico! ¡Tiene que haber algo mal con él!",1,1
Chandler,1,Mónica consigue un compañero de cuarto,"Muy bien Joey, sé amable. Entonces ¿tiene joroba? ¿Una joroba y un postizo?",2,1
Phoebe,1,Mónica consigue un compañero de cuarto,"Espera, ¿come tiza?",3,1
Phoebe,1,Mónica consigue un compañero de cuarto,Sólo porque no quiero que ella pase por lo que yo pasé con Carl- ¡oh!,4,1
Monica,1,Mónica consigue un compañero de cuarto,"Bien, todos relájense. Esto ni siquiera es una cita. Son sólo dos personas saliendo a cenar y... sin tener sexo.",5,1
Chandler,1,Mónica consigue un compañero de cuarto,Me parece una cita.,6,1
Chandler,1,Mónica consigue un compañero de cuarto,"Muy bien, estoy de regreso en la escuela secundaria, estoy parado en medio de la cafetería y me doy cuenta de que estoy totalmente desnudo.",7,1
All,1,Mónica consigue un compañero de cuarto,Oh sí. Tuve ese sueño.,8,1
Chandler,1,Mónica consigue un compañero de cuarto,Luego miro hacia abajo y me doy cuenta de que hay un teléfono... ahí.,9,1
Joey,1,Mónica consigue un compañero de cuarto,En lugar de...?,10,1
Chandler,1,Mónica consigue un compañero de cuarto,Así es.,11,1
Joey,1,Mónica consigue un compañero de cuarto,Nunca tuve ese sueño.,12,1
Phoebe,1,Mónica consigue un compañero de cuarto,No.,13,1
Chandler,1,Mónica consigue un compañero de cuarto,"De repente, el teléfono empieza a sonar. Ahora no sé qué hacer, todos empiezan a mirarme.",14,1
Monica,1,Mónica consigue un compañero de cuarto,¡¿Y no te estaban mirando antes?!,15,1
Chandler,1,Mónica consigue un compañero de cuarto,"Finalmente, pensé que sería mejor contestar, y resulta que es mi madre, lo cual es muy, muy raro, porque... ¡ella nunca me llama!",16,1
Ross,1,Mónica consigue un compañero de cuarto,(mortificado) Hola.,17,1
Joey,1,Mónica consigue un compañero de cuarto,"Este tipo dice hola, quiero suicidarme.",18,1
Monica,1,Mónica consigue un compañero de cuarto,"¿Estás bien, cariño?",19,1
Ross,1,Mónica consigue un compañero de cuarto,"Siento como si alguien me hubiera metido la mano en la garganta, hubiera agarrado mi intestino delgado, lo hubiera sacado de mi boca y lo hubiera atado alrededor de mi cuello...",20,1
Chandler,1,Mónica consigue un compañero de cuarto,¿Galleta?,21,1
Monica,1,Mónica consigue un compañero de cuarto,(explicándole a los demás) Carol sacó sus cosas hoy.,22,1
Joey,1,Mónica consigue un compañero de cuarto,Oh.,23,1
Monica,1,Mónica consigue un compañero de cuarto,(a Ross) Déjame traerte un poco de café.,24,1
Ross,1,Mónica consigue un compañero de cuarto,Gracias.,25,1
Phoebe,1,Mónica consigue un compañero de cuarto,¡Oh! ¡Oh! (Ella comienza a tirar del aire justo en frente de Ross.),26,1
Ross,1,Mónica consigue un compañero de cuarto,"¡No, no, no lo hagas! ¡Deja de limpiar mi aura! No, solo deja mi aura en paz, ¿de acuerdo?",27,1
Phoebe,1,Mónica consigue un compañero de cuarto,¡Bien! ¡Sé turbio!,28,1
Ross,1,Mónica consigue un compañero de cuarto,"Estaré bien, ¿vale? De verdad, todos. Espero que sea muy feliz.",29,1
Monica,1,Mónica consigue un compañero de cuarto,"No, no lo haces.",30,1
Ross,1,Mónica consigue un compañero de cuarto,"No, no lo hago, ¡al diablo con ella, ella me dejó!",31,1
Joey,1,Mónica consigue un compañero de cuarto,Y nunca supiste que era lesbiana...,32,1
Ross,1,Mónica consigue un compañero de cuarto,"¡¡No!! ¡¿Bueno?! ¿Por qué todo el mundo sigue obsesionándose con eso? Ella no lo sabía, ¿cómo debería saberlo?",33,1
Chandler,1,Mónica consigue un compañero de cuarto,A veces quisiera ser lesbiana... (Todos lo miran fijamente.) ¿Dije eso en voz alta?,34,1
Ross,1,Mónica consigue un compañero de cuarto,Anoche les dije a mamá y papá que parecieron tomarlo bastante bien.,35,1
Monica,1,Mónica consigue un compañero de cuarto,"Oh, de verdad, entonces esa llamada telefónica histérica que recibí de una mujer sollozando a las 3:00 a. m.: ""Nunca tendré nietos, nunca tendré nietos"". fue que? ¿Un número equivocado?",36,1
Ross,1,Mónica consigue un compañero de cuarto,Lo siento.,37,1
Joey,1,Mónica consigue un compañero de cuarto,"Muy bien Ross, mira. Estás sintiendo mucho dolor en este momento. Estás enojado. Estás sufriendo. ¿Puedo decirte cuál es la respuesta?",38,1
Joey,1,Mónica consigue un compañero de cuarto,"¡Un porro de striptease! ¡Vamos, estás soltero! ¡Ten algunas hormonas!",39,1
Ross,1,Mónica consigue un compañero de cuarto,"No quiero estar soltero, ¿vale? Yo sólo... yo sólo... ¡sólo quiero casarme de nuevo!",40,1
