Original_Row_Index,autor,numero_episodio,titulo_episodio,cita,orden_cita,temporada
1298,"All you want is a dingle,
 What you envy's a schwang,
 A thing through which you can tinkle,
 Or play with, or simply let hang..",6,El trasero,"Todo lo que quieres es un dingle, Lo que envidias es un schwang, Una cosa a través de la cual puedas tintinear, O jugar, o simplemente dejar colgar...",5,1
2198,"Bladder Control Problem
 Stop Wife Beating
 Hemorrhoids?
 Winner of 3 Tony Awards...",9,El desvalido se escapa,¿El problema de control de la vejiga impide que la esposa venza las hemorroides? Ganador de 3 premios Tony...,227,1
2234,"I made a man with eyes of coal
 And a smile so bewitchin',
 How was I supposed to know
 That my mom was dead in the kitchen?
 (shakes bell) La lalala la la la la lalala la la..",10,El mono,Hice un hombre con ojos de carbón y una sonrisa tan fascinante. ¿Cómo se suponía que iba a saber que mi mamá estaba muerta en la cocina? (sacude la campana) La lalala la la la la lalala la la...,35,1
2236,"...My mother's ashes
 Even her eyelashes
 Are resting in a little yellow jar,
 And sometimes when it's breezy..",10,El mono,"...Las cenizas de mi madre Incluso sus pestañas Descansan en un pequeño frasco amarillo, Y a veces, cuando hace viento...",37,1
2238,"...I feel a little sneezy
 And now I- (abruptly stops)",10,El mono,...Siento un poco de estornudo Y ahora yo- (se detiene abruptamente),39,1
2239,"Excuse me, excuse me! Yeah, noisy boys! (They stop talking and look up) Is
it something that you would like to share with the entire group",10,El mono,"¡Disculpe, disculpe! ¡Sí, muchachos ruidosos! (Dejan de hablar y miran hacia arriba) ¿Es algo que te gustaría compartir con todo el grupo?",40,1
2633,"You don't have to be awake to be my man,
 As long as you have brainwaves I'll be there to hold your hand.
 Though we just met the other day, 
 There's something I have got to say..",11,Sra. Bing,"No tienes que estar despierto para ser mi hombre. Mientras tengas ondas cerebrales, estaré allí para tomar tu mano. Aunque nos conocimos el otro día, hay algo que tengo que decir...",202,1
4476,{Transcriber's Note,19,El mono se escapa,"Los créditos enumeran dos personajes, Tia y Samantha, quienes supongo que son las mujeres sudorosas que conocen Joey y Chandler. Sin embargo, no sé cuál es cuál, así que simplemente las llamé Mujer #1 y Mujer #2.}",0,1
5517,"They're tiny and chubby and so sweet to touch,
 and soon they'll grow up and resent you so much. 
 Now they're yelling at you and you don't know why, 
 you cry and you cry and you cry. 
 And you cry and you cry and you cry..",23,El nacimiento,"Son pequeños, regordetes y muy dulces al tacto, y pronto crecerán y se resentirán mucho contigo. Ahora te están gritando y no sabes por qué, lloras y lloras y lloras. Y lloras y lloras y lloras...",65,1
12801,{Transcriber's Note,6,El flashback,"Rachel tiene dos amigos que no tienen nombre, así que me refiero a ellos como Amigo No. 1 y Amigo No. 2.}",0,3
21747,"Teleplay by Shana Goldberg-Meehan & Scott Silveri 
Story by Alicia Sky Varinaitis
Transcribed by",16,La fiesta falsa,Eric Aasen,0,4
22002,"Story by Mark J. Kunerth 
Teleplay by Richard Goodman 
Transcribed by",17,El porno gratis,Eric Aasen,0,4
26947,"Sleepy girl, sleepy girl.
Why won't you go to sleep?
Sleepy girl, sleepy girl.
You're, you're, you're keeping me uppp!",13,El bolso de Joey,"Niña con sueño, niña con sueño. ¿Por qué no te vas a dormir? Niña con sueño, niña con sueño. ¡Estás, estás, me estás manteniendo animado!",229,5
27074,"tip the scales in my direction. Check it out, you can probably see it from the window.
(They all head to the window.",14,Todo el mundo se entera,"inclina la balanza en mi dirección. Compruébalo, probablemente puedas verlo desde la ventana. (Todos se dirigen a la ventana.)",104,5
